ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/awardID,releases/0/contracts/0/period/startDate,releases/0/contracts/0/period/endDate,releases/0/contracts/0/dateSigned
ocds-hu01ve-7921119,ocds-hu01ve-7921119-01,1858679,1858679,,2021-05-13T12:00:00Z,2021-01-20T12:00:00Z
ocds-hu01ve-7905408,ocds-hu01ve-7905408-01,1914743,1914743,,2021-07-02T12:00:00Z,2020-12-03T12:00:00Z
ocds-hu01ve-7898963,ocds-hu01ve-7898963-01,1823529,1823529,,2020-10-27T12:00:00Z,
ocds-hu01ve-7904967,ocds-hu01ve-7904967-01,1958132,1958132,,2028-07-31T12:00:00Z,2021-03-19T12:00:00Z
ocds-hu01ve-7926529,ocds-hu01ve-7926529-01,1894479,1894479,,2022-01-25T12:00:00Z,2020-12-11T12:00:00Z
ocds-hu01ve-7893707,ocds-hu01ve-7893707-01,1967712,1967712,,2021-07-03T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7906285,ocds-hu01ve-7906285-01,1827501,1827501,,2022-10-31T12:00:00Z,
ocds-hu01ve-7906285,ocds-hu01ve-7906285-01,1827502,1827502,,2022-12-31T12:00:00Z,
ocds-hu01ve-7908333,ocds-hu01ve-7908333-01,1840498,1840498,,2020-11-30T12:00:00Z,2020-10-20T12:00:00Z
ocds-hu01ve-7922149,ocds-hu01ve-7922149-01,1829562,1829562,,2020-12-24T12:00:00Z,2020-11-17T12:00:00Z
ocds-hu01ve-7900233,ocds-hu01ve-7900233-01,1841481,1841481,,2024-01-14T12:00:00Z,2020-12-21T12:00:00Z
ocds-hu01ve-7908643,ocds-hu01ve-7908643-01,1837047,1837047,,2020-12-29T12:00:00Z,2020-10-15T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,1995700,1995700,,2024-11-24T12:00:00Z,2021-08-02T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,1995812,1995812,,2024-11-24T12:00:00Z,2021-11-25T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,1995746,1995746,,2024-11-24T12:00:00Z,2021-11-25T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,2037018,2037018,,2024-11-02T12:00:00Z,2021-11-03T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,2068207,2068207,,2024-12-13T12:00:00Z,2021-12-14T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,2036981,2036981,,2024-11-02T12:00:00Z,2021-11-03T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,1995933,1995933,,2024-11-24T12:00:00Z,2021-11-25T12:00:00Z
ocds-hu01ve-7892416,ocds-hu01ve-7892416-01,2037041,2037041,,2024-11-02T12:00:00Z,2021-11-03T12:00:00Z
